Bus_ID,Route_Name,Distance_km,Traffic_Density,Weather,Is_Peak_Hour,Actual_Travel_Time,Is_Late
SRT-B-0001,Connaught Place to Karol Bagh (Delhi),3.62,8.0,Cloudy,0,44.07,0
SRT-B-0002,Andheri East to Andheri West (Mumbai),1.74,8.0,Sunny,0,37.8,0
SRT-B-0003,Salt Lake to Esplanade (Kolkata),6.0,5.0,Foggy,1,174.0,1
SRT-B-0004,MG Road to Whitefield (Bengaluru),2.23,5.0,Cloudy,1,37.43,0
SRT-B-0005,T Nagar to Velachery (Chennai),0.46,,Sunny,1,47.53,0
SRT-B-0006,Banjara Hills to Ameerpet (Hyderabad),1.6,3.0,Sunny,1,27.33,0
SRT-B-0007,Station to Adajan (Surat),4.41,5.0,Cloudy,0,34.7,0
SRT-B-0008,Vesu to Varachha (Surat),0.96,4.0,Foggy,0,27.2,0
SRT-B-0009,Udhna to Pal (Surat),,10.0,Sunny,1,62.37,1
SRT-B-0010,Rander to Piplod (Surat),4.19,7.0,Cloudy,1,51.97,0
SRT-B-0011,Shivaji Nagar to Hinjewadi (Pune),1.89,,Sunny,1,20.3,0
SRT-B-0012,Navrangpura to Maninagar (Ahmedabad),3.08,6.0,Sunny,0,34.27,0
SRT-B-0013,Alambagh to Charbagh (Lucknow),0.67,2.0,Rainy,1,32.23,0
SRT-B-0014,Patna Junction to Kankarbagh (Patna),8.1,8.0,Cloudy,0,59.0,0
SRT-B-0015,Sector 17 to Mohali (Chandigarh),8.67,5.0,,0,48.9,0
SRT-B-0016,Connaught Place to Karol Bagh (Delhi),7.53,10.0,Foggy,1,83.1,1
SRT-B-0017,Andheri East to Andheri West (Mumbai),2.77,1.0,Sunny,0,13.23,0
SRT-B-0018,Salt Lake to Esplanade (Kolkata),3.8,8.0,Sunny,1,54.67,0
SRT-B-0019,MG Road to Whitefield (Bengaluru),6.48,3.0,Rainy,1,55.6,0
SRT-B-0020,T Nagar to Velachery (Chennai),,10.0,,1,77.9,1
SRT-B-0021,Banjara Hills to Ameerpet (Hyderabad),5.76,2.0,Sunny,0,27.2,0
SRT-B-0022,Station to Adajan (Surat),6.15,5.0,Rainy,1,62.5,1
SRT-B-0023,Vesu to Varachha (Surat),8.03,1.0,Sunny,1,-20.0,0
SRT-B-0024,Udhna to Pal (Surat),7.7,5.0,,1,55.67,0
SRT-B-0025,Rander to Piplod (Surat),4.65,,Rainy,0,63.5,1
SRT-B-0026,Shivaji Nagar to Hinjewadi (Pune),4.18,3.0,Sunny,1,35.93,0
SRT-B-0027,Navrangpura to Maninagar (Ahmedabad),3.1,4.0,Foggy,0,34.33,0
SRT-B-0028,Alambagh to Charbagh (Lucknow),3.93,4.0,Foggy,0,37.1,0
SRT-B-0029,Patna Junction to Kankarbagh (Patna),6.38,2.0,Cloudy,0,29.27,0
SRT-B-0030,Sector 17 to Mohali (Chandigarh),1.31,4.0,Rainy,0,32.37,0
SRT-B-0031,Connaught Place to Karol Bagh (Delhi),7.34,9.0,Sunny,0,-20.0,0
SRT-B-0032,Andheri East to Andheri West (Mumbai),2.36,9.0,Rainy,1,65.87,1
