Bus_ID,From,To,Distance_km,Traffic_Density,Is_Peak_Hour,Weather,Stops,Speed,Actual_Travel_Time,Is_Late,Is_Fastest_Route
SRT-B-0001,Pandesara,Varachha,44.77,5,0,Rainy,5,33.38,80.47,0,0
SRT-B-0002,Piplod,Udhna,11.55,5,0,Rainy,8,47.09,14.72,0,1
SRT-B-0003,Varachha,Rander,24.11,5,1,Cloudy,7,32.24,44.87,1,0
SRT-B-0004,Chikuwadi,Vesu,13.77,1,1,Rainy,7,33.03,25.01,1,0
SRT-B-0005,Varachha,Adajan,13.22,5,1,Foggy,1,36.5,21.73,1,0
SRT-B-0006,Katargam,Adajan,16.83,2,1,Sunny,5,28.05,35.99,1,0
SRT-B-0007,Varachha,Katargam,13.07,9,0,Rainy,9,15.55,50.42,1,0
SRT-B-0008,Udhna,Katargam,3.22,8,0,Rainy,3,31.17,6.2,1,0
SRT-B-0009,Varachha,Adajan,18.15,7,0,Sunny,4,23.95,45.47,0,0
SRT-B-0010,Adajan,Pandesara,28.87,9,1,Sunny,6,18.12,95.59,1,0
SRT-B-0011,Pandesara,Varachha,44.6,9,0,Foggy,1,27.06,98.89,1,0
SRT-B-0012,Pandesara,Piplod,28.53,4,1,Foggy,2,24.56,69.69,1,0
SRT-B-0013,Vesu,Vesu,29.69,4,1,Foggy,3,35.51,50.16,1,0
SRT-B-0014,Rander,Vesu,12.43,8,0,Foggy,7,18.88,39.49,1,0
SRT-B-0015,Rander,Rander,3.42,4,0,Cloudy,6,27.7,7.41,0,0
SRT-B-0016,Godadara,Udhna,17.36,3,0,Foggy,1,59.1,17.62,0,1
SRT-B-0017,Pandesara,Varachha,46.13,2,1,Sunny,2,24.81,111.57,1,0
SRT-B-0018,Rander,Piplod,18.51,8,0,Foggy,7,19.9,55.82,1,0
SRT-B-0019,Adajan,Katargam,26.61,9,0,Sunny,7,12.16,131.31,1,0
SRT-B-0020,Rander,Godadara,45.5,7,0,Rainy,9,20.17,135.37,0,0
SRT-B-0021,Udhna,Godadara,48.98,5,1,Cloudy,7,33.31,88.23,1,0
SRT-B-0022,Pandesara,Rander,25.14,8,1,Rainy,2,19.77,76.3,1,0
SRT-B-0023,Udhna,Adajan,6.47,5,1,Foggy,4,19.95,19.46,1,0
SRT-B-0024,Katargam,Pandesara,11.85,3,1,Foggy,2,40.22,17.68,1,1
SRT-B-0025,Chikuwadi,Pandesara,39.18,7,0,Cloudy,8,28.92,81.3,0,0
SRT-B-0026,Katargam,Adajan,6.63,7,0,Rainy,7,27.12,14.67,0,0
SRT-B-0027,Pandesara,Chikuwadi,12.02,2,1,Cloudy,6,41.83,17.24,1,1
SRT-B-0028,Udhna,Adajan,6.47,8,0,Foggy,5,23.68,16.39,1,0
SRT-B-0029,Vesu,Godadara,47.38,3,0,Foggy,6,33.28,85.43,0,0
SRT-B-0030,Varachha,Rander,18.84,2,1,Foggy,2,14.5,77.98,1,0
SRT-B-0031,Udhna,Udhna,15.91,6,0,Rainy,7,41.55,22.97,0,1
SRT-B-0032,Rander,Vesu,16.35,2,0,Sunny,3,51.16,19.18,0,1
SRT-B-0033,Pandesara,Rander,29.26,1,1,Rainy,6,30.52,57.51,1,0
SRT-B-0034,Godadara,Katargam,15.79,4,1,Sunny,5,25.15,37.67,1,0
SRT-B-0035,Rander,Pandesara,3.45,2,0,Foggy,9,36.22,5.71,0,0
SRT-B-0036,Varachha,Katargam,2.76,5,0,Sunny,2,23.97,6.91,0,0
SRT-B-0037,Adajan,Pandesara,48.88,1,0,Foggy,1,46.64,62.88,0,1
SRT-B-0038,Udhna,Udhna,8.83,5,0,Foggy,4,44.79,11.83,0,1
SRT-B-0039,Godadara,Chikuwadi,38.98,7,0,Foggy,5,45.36,51.56,0,1
SRT-B-0040,Vesu,Piplod,47.23,5,0,Sunny,2,49.82,56.88,0,1
SRT-B-0041,Godadara,Udhna,24.06,3,0,Cloudy,2,44.05,32.77,0,1
SRT-B-0042,Vesu,Varachha,19.3,3,1,Sunny,1,18.69,61.96,1,0
SRT-B-0043,Udhna,Vesu,29.0,8,1,Sunny,6,16.42,105.98,1,0
SRT-B-0044,Pandesara,Rander,37.48,5,1,Sunny,7,37.48,59.99,1,0
SRT-B-0045,Piplod,Piplod,38.27,1,1,Sunny,7,27.47,83.58,1,0
SRT-B-0046,Udhna,Godadara,40.95,5,1,Rainy,9,38.42,63.95,1,0
SRT-B-0047,Godadara,Chikuwadi,41.43,5,0,Rainy,4,53.43,46.52,0,1
SRT-B-0048,Adajan,Varachha,41.8,4,0,Cloudy,7,21.12,118.75,0,0
SRT-B-0049,Varachha,Godadara,22.44,7,0,Foggy,3,24.05,55.98,0,0
SRT-B-0050,Chikuwadi,Chikuwadi,39.63,2,0,Rainy,4,47.9,49.64,0,1
SRT-B-0051,Adajan,Adajan,23.82,9,0,Cloudy,9,24.13,59.22,1,0
SRT-B-0052,Godadara,Pandesara,13.78,9,0,Cloudy,9,22.42,36.88,1,0
SRT-B-0053,Udhna,Rander,35.39,9,1,Foggy,9,15.0,141.53,1,0
SRT-B-0054,Chikuwadi,Pandesara,34.67,8,0,Rainy,9,27.73,75.03,1,0
SRT-B-0055,Vesu,Pandesara,6.07,5,0,Foggy,6,24.2,15.05,0,0
SRT-B-0056,Vesu,Vesu,49.5,3,0,Cloudy,7,40.25,73.79,0,1
SRT-B-0057,Katargam,Godadara,9.84,2,0,Rainy,3,56.56,10.44,0,1
SRT-B-0058,Rander,Varachha,17.04,3,0,Cloudy,9,46.36,22.05,0,1
SRT-B-0059,Vesu,Piplod,23.81,2,1,Foggy,4,25.45,56.12,1,0
SRT-B-0060,Katargam,Udhna,38.16,4,1,Rainy,5,31.19,73.4,1,0
SRT-B-0061,Katargam,Adajan,49.06,7,0,Rainy,4,27.81,105.83,0,0
SRT-B-0062,Adajan,Piplod,2.16,1,1,Cloudy,3,22.61,5.73,1,0
SRT-B-0063,Vesu,Varachha,40.31,9,1,Sunny,5,10.38,232.92,1,0
SRT-B-0064,Varachha,Udhna,38.89,7,0,Sunny,3,33.19,70.31,0,0
SRT-B-0065,Rander,Godadara,42.38,6,0,Cloudy,3,42.55,59.77,0,1
SRT-B-0066,Vesu,Adajan,30.32,2,1,Foggy,9,29.45,61.78,1,0
SRT-B-0067,Udhna,Udhna,13.26,9,0,Foggy,3,29.67,26.81,1,0
SRT-B-0068,Godadara,Pandesara,6.8,6,0,Cloudy,4,36.0,11.33,0,0
SRT-B-0069,Katargam,Vesu,25.7,6,0,Sunny,9,23.62,65.3,0,0
SRT-B-0070,Katargam,Udhna,3.62,6,1,Sunny,1,37.11,5.85,1,0
SRT-B-0071,Varachha,Varachha,26.19,6,1,Rainy,9,19.57,80.32,1,0
SRT-B-0072,Katargam,Varachha,34.9,1,0,Foggy,8,49.5,42.31,0,1
SRT-B-0073,Chikuwadi,Piplod,48.63,3,0,Sunny,9,54.09,53.95,0,1
SRT-B-0074,Udhna,Pandesara,25.27,1,0,Rainy,8,54.08,28.04,0,1
SRT-B-0075,Vesu,Adajan,14.51,2,1,Sunny,5,17.12,50.84,1,0
SRT-B-0076,Chikuwadi,Varachha,19.24,3,1,Sunny,2,14.25,80.99,1,0
SRT-B-0077,Godadara,Pandesara,12.43,4,1,Foggy,5,35.66,20.91,1,0
SRT-B-0078,Varachha,Chikuwadi,20.22,8,0,Rainy,4,33.44,36.28,1,0
SRT-B-0079,Godadara,Piplod,30.96,6,1,Sunny,3,36.42,51.0,1,0
SRT-B-0080,Udhna,Adajan,47.18,6,0,Foggy,5,28.34,99.9,0,0
SRT-B-0081,Adajan,Piplod,46.46,4,1,Cloudy,7,33.08,84.26,1,0
SRT-B-0082,Pandesara,Piplod,32.4,2,0,Foggy,5,38.36,50.68,0,0
SRT-B-0083,Udhna,Adajan,24.54,4,0,Foggy,2,30.74,47.91,0,0
SRT-B-0084,Udhna,Katargam,22.86,7,0,Cloudy,1,51.01,26.89,0,1
SRT-B-0085,Adajan,Rander,6.71,5,1,Cloudy,8,19.98,20.15,1,0
SRT-B-0086,Rander,Chikuwadi,36.33,4,1,Rainy,3,27.91,78.1,1,0
SRT-B-0087,Adajan,Chikuwadi,3.81,5,1,Cloudy,3,37.53,6.09,1,0
SRT-B-0088,Vesu,Chikuwadi,32.53,9,1,Foggy,5,16.29,119.82,1,0
SRT-B-0089,Vesu,Rander,19.58,1,0,Foggy,9,35.96,32.67,0,0
SRT-B-0090,Katargam,Pandesara,7.67,4,1,Sunny,1,21.19,21.72,1,0
SRT-B-0091,Godadara,Piplod,46.97,7,0,Sunny,3,40.41,69.74,0,1
SRT-B-0092,Chikuwadi,Chikuwadi,27.0,3,1,Foggy,7,26.22,61.78,1,0
SRT-B-0093,Varachha,Rander,30.53,8,1,Foggy,4,25.09,73.0,1,0
SRT-B-0094,Varachha,Varachha,47.9,4,0,Foggy,7,53.09,54.14,0,1
SRT-B-0095,Varachha,Katargam,12.9,5,0,Sunny,5,21.93,35.29,0,0
SRT-B-0096,Godadara,Varachha,40.61,2,1,Cloudy,1,23.86,102.11,1,0
SRT-B-0097,Udhna,Godadara,6.55,3,0,Cloudy,1,59.3,6.63,0,1
SRT-B-0098,Udhna,Godadara,37.34,8,1,Cloudy,9,16.78,133.48,1,0
SRT-B-0099,Chikuwadi,Chikuwadi,13.0,9,1,Cloudy,1,24.37,32.01,1,0
SRT-B-0100,Vesu,Adajan,7.91,1,0,Rainy,3,53.08,8.94,0,1
SRT-B-0101,Rander,Godadara,15.39,7,1,Rainy,4,14.83,62.28,1,0
SRT-B-0102,Pandesara,Varachha,28.53,3,0,Cloudy,7,57.85,29.59,0,1
SRT-B-0103,Piplod,Pandesara,15.39,3,1,Foggy,7,22.86,40.4,1,0
SRT-B-0104,Adajan,Piplod,2.84,6,1,Rainy,1,39.7,4.29,1,0
SRT-B-0105,Godadara,Pandesara,24.85,9,0,Rainy,1,12.61,118.23,1,0
SRT-B-0106,Godadara,Varachha,47.43,1,0,Sunny,3,36.33,78.32,0,0
SRT-B-0107,Udhna,Udhna,44.42,9,1,Rainy,1,8.82,302.32,1,0
SRT-B-0108,Udhna,Varachha,38.3,2,1,Cloudy,4,35.18,65.32,1,0
SRT-B-0109,Vesu,Pandesara,48.32,9,1,Foggy,8,20.74,139.79,1,0
SRT-B-0110,Vesu,Chikuwadi,5.21,9,0,Cloudy,8,35.97,8.69,1,0
SRT-B-0111,Godadara,Vesu,31.26,3,0,Rainy,1,34.85,53.81,0,0
SRT-B-0112,Piplod,Godadara,24.99,7,0,Sunny,8,28.9,51.88,0,0
SRT-B-0113,Adajan,Pandesara,12.23,6,0,Foggy,5,47.27,15.52,0,1
SRT-B-0114,Chikuwadi,Chikuwadi,46.45,1,1,Cloudy,3,24.56,113.5,1,0
SRT-B-0115,Piplod,Katargam,12.33,4,1,Cloudy,7,15.98,46.29,1,0
SRT-B-0116,Udhna,Adajan,47.72,5,1,Foggy,4,24.28,117.9,1,0
SRT-B-0117,Udhna,Pandesara,35.18,1,0,Cloudy,6,46.15,45.74,0,1
SRT-B-0118,Godadara,Rander,39.78,2,1,Rainy,5,40.78,58.53,1,1
SRT-B-0119,Adajan,Rander,2.8,1,1,Rainy,8,37.84,4.44,1,0
SRT-B-0120,Rander,Chikuwadi,32.09,7,0,Rainy,8,53.11,36.25,0,1
SRT-B-0121,Vesu,Rander,19.65,8,1,Cloudy,6,9.51,124.03,1,0
SRT-B-0122,Chikuwadi,Chikuwadi,2.96,1,0,Cloudy,9,20.92,8.49,0,0
SRT-B-0123,Katargam,Chikuwadi,49.12,8,0,Sunny,2,32.27,91.32,1,0
SRT-B-0124,Vesu,Rander,48.59,8,0,Sunny,4,31.53,92.45,1,0
SRT-B-0125,Pandesara,Rander,33.07,5,1,Cloudy,4,28.37,69.94,1,0
SRT-B-0126,Katargam,Chikuwadi,48.63,8,0,Sunny,6,22.83,127.82,1,0
SRT-B-0127,Pandesara,Katargam,7.37,8,0,Cloudy,5,13.04,33.91,1,0
SRT-B-0128,Varachha,Udhna,27.62,3,0,Foggy,9,45.79,36.19,0,1
SRT-B-0129,Chikuwadi,Godadara,43.74,8,1,Cloudy,9,16.28,161.22,1,0
