From,To,Operator,Distance,Duration,Bus Type,Departure,Arrival
Sattur,Chennai,PERINBA VILAS TRAVELS,539,0:9:0,"A/C, 35 Seat, 2+2 Semi Sleeper,  Air Suspension, Hi-Tech",09:30:00 PM,06:30:00 AM
Sattur,Chennai,PERINBA VILAS TRAVELS,539,0:10:45,"Non A/C, 34 Seat, 2+1 Executive, Air Suspension, Hi-Tech",07:45:00 PM,06:30:00 AM
Sattur,Chennai,KPN Travels,539,0:9:45,2+2 : 33 S.S NON A/C,07:45:00 PM,05:30:00 AM
Sattur,Salem,Srs Travels (SRS Travels),304,0:5:45,"2+1, Sleeper, AC, Non-Video",09:45:00 PM,03:30:00 AM
Sattur,Coimbatore,India Travel Service,295,0:6:40,2+2 Hitech Air Bus Non/AC,10:20:00 PM,05:00:00 AM
Sattur,Hosur,Royal Travels,324,0:8:6,Royal,07:00:00 PM,03:06:00 AM
Sattur,Bangalore,Srs Travels (SRS Travels),501,0:7:0,"2+1, Sleeper, AC, Non-Video",09:45:00 PM,04:45:00 AM
Sattur,Bangalore,Royal Travels,501,0:12:32,Royal,07:00:00 PM,07:32:00 AM
Sattur,Bangalore,Srs Travels (SRS Travels),501,0:8:15,"2+1, Sleeper, Non-AC, Non-Video",08:45:00 PM,05:00:00 AM
Shirva,Gandhinagar,Shree Sahjanand Travels,1388,1:11:30,Odinary,07:00:00 PM,06:30:00 AM
Shirva,Ahmedabad,Shree Sahjanand Travels,1371,1:10:30,Odinary,07:00:00 PM,05:30:00 AM
Perdoor,Bangalore,Sugama Tourists  Y (Sugama  Tourists),404,0:10:30,"2+1, Sleeper/Seater, Non-AC",07:30:00 PM,06:00:00 AM
Proddatur,Vijayawada,Diwakar Travels,365,0:7:30,Hi-Tech Non A/c Semi Sleeper,10:30:00 PM,06:00:00 AM
Thalayolaparambu,Bangalore,Kallada Travels,573,0:14:20,SEMI SLEEPER,05:45:00 PM,08:05:00 AM
Khamgaon,Ahmednagar,akash BUS AMRAVATI,314,0:6:30,A/c,11:00:00 PM,05:30:00 AM
Khamgaon,Ahmednagar,akash BUS AMRAVATI,314,0:5:30,Non A/c,09:45:00 PM,03:15:00 AM
Khamgaon,Ahmednagar,akash BUS AMRAVATI,314,0:6:0,Non A/c,09:00:00 PM,03:00:00 AM
Khamgaon,Ahmednagar,akash BUS AMRAVATI,314,0:6:0,Non A/c,12:00:00 AM,06:00:00 AM
Khamgaon,Aurangabad,akash BUS AMRAVATI,200,0:3:30,Non A/c,09:45:00 PM,01:15:00 AM
Khamgaon,Aurangabad,Sangeetam Travels,200,0:5:0,A/c,09:00:00 PM,02:00:00 AM
Khamgaon,Aurangabad,akash BUS AMRAVATI,200,0:6:0,Non A/c,09:00:00 PM,03:00:00 AM
Khamgaon,Aurangabad,akash BUS AMRAVATI,200,0:3:30,A/c,11:00:00 PM,02:30:00 AM
Khamgaon,Aurangabad,akash BUS AMRAVATI,200,0:6:0,Non A/c,12:00:00 AM,06:00:00 AM
Khamgaon,Usmanabad,akash BUS AMRAVATI-Sangeetam 2x1,360,0:6:0,Non A/c,08:45:00 PM,02:45:00 AM
Khamgaon,Thane,akash BUS AMRAVATI-2x1 a/c air sus-lcd,522,0:8:15,A/c,09:15:00 PM,05:30:00 AM
Khamgaon,Nagar,Sangeetam Travels,709,0:17:44,A/c,09:00:00 PM,02:44:00 PM
Khamgaon,Dhulia,akash BUS AMRAVATI,223,0:3:30,Non A/c,10:00:00 PM,01:30:00 AM
Khamgaon,Sholapur,akash BUS AMRAVATI-Sangeetam 2x1,425,0:9:0,Non A/c,08:45:00 PM,05:45:00 AM
Khamgaon,Malkapur,Vidarbha Express,665,0:16:38,Non A/c,09:00:00 PM,01:38:00 PM
Khamgaon,Bhusawal,Rachna Travels,107,0:2:41,Non A/c,10:00:00 PM,12:41:00 AM
Khamgaon,Bhusawal,Vidarbha Express,107,0:2:41,Non A/c,09:00:00 PM,11:41:00 PM
Khamgaon,Nasik,akash BUS AMRAVATI,320,0:8:0,Non A/c,10:00:00 PM,06:00:00 AM
Khamgaon,Nasik,akash BUS AMRAVATI-2x1 a/c air sus-lcd,280,0:7:0,A/c,09:15:00 PM,04:15:00 AM
Khamgaon,Jalna,akash BUS AMRAVATI,143,0:6:0,Non A/c,12:00:00 AM,06:00:00 AM
Khamgaon,Jalna,Sheetal Travels Akola,143,0:3:35,Non A/c,09:30:00 PM,01:05:00 AM
Khamgaon,Jalna,Sangeetam Travels,143,0:3:35,A/c,09:00:00 PM,12:35:00 AM
Khamgaon,Jalna,Sheetal Travels Akola,143,0:4:0,Non A/c,07:00:00 PM,11:00:00 PM
Khamgaon,Jalna,akash BUS AMRAVATI,143,0:2:30,Non A/c,09:45:00 PM,12:15:00 AM
Khamgaon,Jalna,akash BUS AMRAVATI,143,0:2:30,A/c,11:00:00 PM,01:30:00 AM
Khamgaon,Jalna,akash BUS AMRAVATI-Sangeetam 2x1,143,0:4:0,Non A/c,08:45:00 PM,12:45:00 AM
Khamgaon,Jalna,Sheetal Travels Akola,143,0:3:0,Non A/c,08:00:00 PM,11:00:00 PM
Khamgaon,Jalna,akash BUS AMRAVATI,143,0:6:0,Non A/c,09:00:00 PM,03:00:00 AM
Khamgaon,Indore,Hans Travels Indore-,284,0:7:20,A/c,01:30:00 AM,08:50:00 AM
Khamgaon,Nagpur,shreenath travellers,297,0:5:30,Non A/c,06:05:00 AM,11:35:00 AM
Khamgaon,Nagpur,Rachna Travels,297,0:7:26,Non A/c,09:50:00 PM,05:16:00 AM
Khamgaon,Malegaon,akash BUS AMRAVATI,220,0:5:30,Non A/c,10:00:00 PM,03:30:00 AM
Khamgaon,Jalgaon,Vidarbha Express,255,0:6:23,Non A/c,09:00:00 PM,03:23:00 AM
